symbol	meaning	description	human_family	human_family_title	catalog_group	path
GAS-C	Gasoline	Gasoline	energy	Energy	crypto	Commodities\GAS-C
GASOIL-C	Low Sulphur Gasoil - Cash	Low Sulphur Gasoil - Cash	energy	Energy	commodities	Commodities\GASOIL-C
NG-C	Natural Gas	Natural Gas	energy	Energy	commodities	Commodities\NG-C
UKOUSD	Brent Crude Oil Cash	Brent Crude Oil Cash	energy	Energy	commodities	Oil\UKOUSD
USOUSD	WTI Crude Oil Cash	WTI Crude Oil Cash	energy	Energy	commodities	Oil\USOUSD
AUDCAD+	Australian Dollar vs Canadian Dollar	Australian Dollar vs Canadian Dollar	forex	FX	forex	Forex+\Forex Major\AUDCAD+
AUDCHF+	Australian Dollar vs Swiss Franc	Australian Dollar vs Swiss Franc	forex	FX	forex	Forex+\Forex Major\AUDCHF+
AUDCNH+	AU Dollar vs Chinese Yuan	AU Dollar vs Chinese Yuan	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\AUDCNH+
AUDJPY+	Australian Dollar vs Japanese Yen	Australian Dollar vs Japanese Yen	forex	FX	indices	Forex+\Forex Major\AUDJPY+
AUDNZD+	Australian Dollar vs New Zealand Dollar	Australian Dollar vs New Zealand Dollar	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\AUDNZD+
AUDSGD+	Australian Dollar vs Singapore Dollar	Australian Dollar vs Singapore Dollar	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\AUDSGD+
AUDUSD	Australian Dollar vs US Dollar	Australian Dollar vs US Dollar	forex	FX	forex	Forex Major\Forex Major\AUDUSD
AUDUSD+	Australian Dollar vs US Dollar	Australian Dollar vs US Dollar	forex	FX	forex	Forex+\Forex Major\AUDUSD+
CADCHF+	Canadian Dollar vs Swiss Franc	Canadian Dollar vs Swiss Franc	forex	FX	forex	Forex+\Forex Major\CADCHF+
CADJPY+	Canadian Dollar vs Japanese Yen	Canadian Dollar vs Japanese Yen	forex	FX	indices	Forex+\Forex Major\CADJPY+
CHFJPY+	Swiss Franc vs Japanese Yen	Swiss Franc vs Japanese Yen	forex	FX	forex	Forex+\Forex Major\CHFJPY+
CHFSGD+	Swiss Franc vs Singapore Dollar	Swiss Franc vs Singapore Dollar	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\CHFSGD+
EURAUD+	Euro vs Australian Dollar	Euro vs Australian Dollar	forex	FX	forex	Forex+\Forex Major\EURAUD+
EURCAD+	Euro vs Canadian Dollar	Euro vs Canadian Dollar	forex	FX	forex	Forex+\Forex Major\EURCAD+
EURCHF+	Euro vs Swiss Franc	Euro vs Swiss Franc	forex	FX	forex	Forex+\Forex Major\EURCHF+
EURCZK+	Euro vs Czech Koruna	Euro vs Czech Koruna	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\EURCZK+
EURDKK+	Euro vs Danish Krone	Euro vs Danish Krone	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\EURDKK+
EURGBP+	Euro vs Great Britain Pound	Euro vs Great Britain Pound	forex	FX	forex	Forex+\Forex Major\EURGBP+
EURHUF+	Euro vs Hungarian Forint	Euro vs Hungarian Forint	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\EURHUF+
EURJPY+	Euro vs Japanese Yen	Euro vs Japanese Yen	forex	FX	forex	Forex+\Forex Major\EURJPY+
EURNOK+	Euro vs Norwegian Krone	Euro vs Norwegian Krone	forex	FX	forex	Forex+\Forex Exotic\EURNOK+
EURNZD+	Euro vs New Zealand Dollar	Euro vs New Zealand Dollar	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\EURNZD+
EURPLN+	Euro vs Polish Zloty	Euro vs Polish Zloty	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\EURPLN+
EURSEK+	Euro vs Swedish Krona	Euro vs Swedish Krona	forex	FX	forex	Forex+\Forex Exotic\EURSEK+
EURSGD+	Euro vs Singapore Dollar	Euro vs Singapore Dollar	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\EURSGD+
EURTRY+	Euro vs Turkish Lira	Euro vs Turkish Lira	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\EURTRY+
EURUSD	Euro vs US Dollar	Euro vs US Dollar	forex	FX	forex	Forex Major\Forex Major\EURUSD
EURUSD+	Euro vs US Dollar	Euro vs US Dollar	forex	FX	forex	Forex+\Forex Major\EURUSD+
GBPAUD+	Great Britain Pound vs Australian Dollar	Great Britain Pound vs Australian Dollar	forex	FX	forex	Forex+\Forex Major\GBPAUD+
GBPCAD+	Great Britain Pound vs Canadian Dollar	Great Britain Pound vs Canadian Dollar	forex	FX	forex	Forex+\Forex Major\GBPCAD+
GBPCHF+	Great Britain Pound vs Swiss Franc	Great Britain Pound vs Swiss Franc	forex	FX	forex	Forex+\Forex Major\GBPCHF+
GBPJPY+	Great Britain Pound vs Japanese Yen	Great Britain Pound vs Japanese Yen	forex	FX	forex	Forex+\Forex Major\GBPJPY+
GBPNZD+	Great Britain Pound vs New Zealand Dollar	Great Britain Pound vs New Zealand Dollar	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\GBPNZD+
GBPSGD+	Great Britain Pound vs Singapore Dollar	Great Britain Pound vs Singapore Dollar	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\GBPSGD+
GBPUSD	Great Britain Pound vs US Dollar	Great Britain Pound vs US Dollar	forex	FX	forex	Forex Major\Forex Major\GBPUSD
